Week,Copa America: (Worldwide),India vs New Zealand: (Worldwide),T20 World Cup: (Worldwide),Squid Game: (Worldwide)
Jan 03 2021,<1,<1,<1,<1
Jan 10 2021,<1,<1,<1,<1
Jan 17 2021,<1,<1,<1,<1
Jan 24 2021,<1,<1,<1,<1
Jan 31 2021,<1,<1,<1,<1
Feb 07 2021,<1,<1,<1,<1
Feb 14 2021,<1,<1,<1,<1
Feb 21 2021,<1,2,<1,<1
Feb 28 2021,<1,2,<1,<1
Mar 07 2021,<1,<1,<1,<1
Mar 14 2021,<1,<1,<1,<1
Mar 21 2021,<1,1,<1,<1
Mar 28 2021,<1,<1,<1,<1
Apr 04 2021,<1,<1,<1,<1
Apr 11 2021,<1,<1,<1,<1
Apr 18 2021,<1,<1,<1,<1
Apr 25 2021,<1,<1,<1,<1
May 02 2021,<1,<1,<1,<1
May 09 2021,1,<1,<1,<1
May 16 2021,1,<1,<1,<1
May 23 2021,2,<1,<1,<1
May 30 2021,6,<1,<1,<1
Jun 06 2021,10,<1,<1,<1
Jun 13 2021,64,7,<1,<1
Jun 20 2021,65,12,<1,<1
Jun 27 2021,75,<1,1,<1
Jul 04 2021,100,<1,<1,<1
Jul 11 2021,31,<1,1,<1
Jul 18 2021,2,<1,1,<1
Jul 25 2021,1,<1,<1,<1
Aug 01 2021,1,<1,<1,<1
Aug 08 2021,1,<1,<1,<1
Aug 15 2021,1,<1,1,<1
Aug 22 2021,<1,<1,<1,<1
Aug 29 2021,1,1,<1,<1
Sep 05 2021,1,1,3,<1
Sep 12 2021,<1,<1,1,1
Sep 19 2021,<1,<1,1,14
Sep 26 2021,<1,<1,1,33
Oct 03 2021,<1,<1,2,40
Oct 10 2021,<1,<1,5,31
Oct 17 2021,<1,1,25,20
Oct 24 2021,<1,1,44,14
Oct 31 2021,<1,12,54,12
Nov 07 2021,<1,1,36,8
Nov 14 2021,<1,22,9,6
Nov 21 2021,<1,36,1,5
Nov 28 2021,<1,39,<1,4
Dec 05 2021,<1,15,<1,3
