Week,DMX: (Worldwide),Afghanistan: (Worldwide),COVID Vaccine: (Worldwide),Dogecoin: (Worldwide)
Jan 03 2021,<1,1,23,1
Jan 10 2021,<1,1,34,1
Jan 17 2021,<1,2,33,<1
Jan 24 2021,<1,2,33,12
Jan 31 2021,<1,1,33,10
Feb 07 2021,<1,1,34,11
Feb 14 2021,<1,1,30,5
Feb 21 2021,<1,1,35,3
Feb 28 2021,<1,2,44,2
Mar 07 2021,<1,3,48,2
Mar 14 2021,<1,3,45,2
Mar 21 2021,<1,1,44,1
Mar 28 2021,3,1,48,1
Apr 04 2021,34,1,46,1
Apr 11 2021,8,2,35,15
Apr 18 2021,2,1,31,17
Apr 25 2021,3,1,48,8
May 02 2021,1,1,35,21
May 09 2021,1,1,33,22
May 16 2021,1,1,33,11
May 23 2021,1,2,30,6
May 30 2021,1,1,30,6
Jun 06 2021,<1,1,28,4
Jun 13 2021,<1,2,26,3
Jun 20 2021,<1,1,38,4
Jun 27 2021,<1,1,22,3
Jul 04 2021,<1,2,20,2
Jul 11 2021,<1,2,21,2
Jul 18 2021,<1,2,24,2
Jul 25 2021,<1,2,27,2
Aug 01 2021,<1,2,45,1
Aug 08 2021,<1,6,28,2
Aug 15 2021,<1,58,32,3
Aug 22 2021,<1,23,29,2
Aug 29 2021,<1,15,35,1
Sep 05 2021,<1,7,21,2
Sep 12 2021,<1,4,21,1
Sep 19 2021,<1,3,19,1
Sep 26 2021,<1,2,17,1
Oct 03 2021,<1,2,12,2
Oct 10 2021,<1,2,14,1
Oct 17 2021,<1,4,15,1
Oct 24 2021,<1,10,10,2
Oct 31 2021,<1,18,11,2
Nov 07 2021,<1,7,11,1
Nov 14 2021,<1,2,11,1
Nov 21 2021,<1,1,9,1
Nov 28 2021,<1,1,12,1
Dec 05 2021,<1,1,10,1
