Week,COVID: (Worldwide),Stimulus Check: (Worldwide),Alec Baldwin: (Worldwide),Christian Eriksen: (Worldwide)
Jan 03 2021,86,14,<1,<1
Jan 10 2021,89,6,<1,<1
Jan 17 2021,81,5,<1,<1
Jan 24 2021,78,5,<1,<1
Jan 31 2021,74,6,<1,<1
Feb 07 2021,68,5,<1,<1
Feb 14 2021,63,5,<1,<1
Feb 21 2021,69,6,<1,<1
Feb 28 2021,75,8,<1,<1
Mar 07 2021,80,18,<1,<1
Mar 14 2021,80,16,<1,<1
Mar 21 2021,83,7,<1,<1
Mar 28 2021,89,5,<1,<1
Apr 04 2021,91,3,<1,<1
Apr 11 2021,86,3,<1,<1
Apr 18 2021,87,2,<1,<1
Apr 25 2021,94,3,<1,<1
May 02 2021,84,2,<1,<1
May 09 2021,82,2,<1,<1
May 16 2021,77,2,<1,<1
May 23 2021,78,2,<1,<1
May 30 2021,77,2,<1,<1
Jun 06 2021,69,2,<1,4
Jun 13 2021,67,1,<1,3
Jun 20 2021,80,1,<1,<1
Jun 27 2021,69,1,<1,<1
Jul 04 2021,75,1,<1,<1
Jul 11 2021,84,2,<1,<1
Jul 18 2021,86,1,<1,<1
Jul 25 2021,89,1,<1,<1
Aug 01 2021,100,1,<1,<1
Aug 08 2021,88,1,<1,<1
Aug 15 2021,89,1,<1,<1
Aug 22 2021,82,1,<1,<1
Aug 29 2021,80,1,<1,<1
Sep 05 2021,70,1,<1,<1
Sep 12 2021,68,1,<1,<1
Sep 19 2021,62,1,<1,<1
Sep 26 2021,59,1,<1,<1
Oct 03 2021,47,1,<1,<1
Oct 10 2021,44,1,<1,<1
Oct 17 2021,43,<1,9,<1
Oct 24 2021,41,<1,3,<1
Oct 31 2021,42,<1,1,<1
Nov 07 2021,43,<1,<1,<1
Nov 14 2021,46,<1,<1,<1
Nov 21 2021,49,<1,<1,<1
Nov 28 2021,56,<1,1,<1
Dec 05 2021,51,<1,<1,<1
