Week,Dune: (Worldwide),Emma Raducanu: (Worldwide),Joe Biden: (Worldwide)
Jan 03 2021,1,0,4
Jan 10 2021,1,0,4
Jan 17 2021,1,0,20
Jan 24 2021,1,<1,5
Jan 31 2021,1,0,3
Feb 07 2021,1,<1,2
Feb 14 2021,1,0,2
Feb 21 2021,1,0,2
Feb 28 2021,1,0,2
Mar 07 2021,1,0,2
Mar 14 2021,1,0,2
Mar 21 2021,1,0,2
Mar 28 2021,1,0,2
Apr 04 2021,1,0,2
Apr 11 2021,1,<1,1
Apr 18 2021,1,0,1
Apr 25 2021,1,0,2
May 02 2021,1,0,1
May 09 2021,1,0,2
May 16 2021,1,0,1
May 23 2021,1,0,1
May 30 2021,1,0,1
Jun 06 2021,1,<1,1
Jun 13 2021,1,<1,2
Jun 20 2021,1,0,1
Jun 27 2021,1,1,1
Jul 04 2021,1,2,1
Jul 11 2021,1,<1,1
Jul 18 2021,3,<1,1
Jul 25 2021,2,<1,1
Aug 01 2021,2,<1,1
Aug 08 2021,2,<1,1
Aug 15 2021,2,<1,3
Aug 22 2021,2,<1,2
Aug 29 2021,3,<1,2
Sep 05 2021,3,5,2
Sep 12 2021,5,4,2
Sep 19 2021,6,1,1
Sep 26 2021,5,<1,1
Oct 03 2021,4,1,1
Oct 10 2021,4,<1,1
Oct 17 2021,14,<1,1
Oct 24 2021,16,1,2
Oct 31 2021,9,<1,2
Nov 07 2021,6,<1,2
Nov 14 2021,5,<1,2
Nov 21 2021,4,<1,1
Nov 28 2021,3,<1,1
Dec 05 2021,3,<1,1
