Week,Australia vs India: (Worldwide),India vs England: (Worldwide),IPL: (Worldwide),NBA: (Worldwide),Euro 2021: (Worldwide)
Jan 03 2021,45,<1,1,20,<1
Jan 10 2021,68,1,1,20,<1
Jan 17 2021,58,1,3,20,<1
Jan 24 2021,<1,<1,1,20,<1
Jan 31 2021,<1,32,1,21,<1
Feb 07 2021,<1,79,2,20,<1
Feb 14 2021,<1,64,9,20,<1
Feb 21 2021,1,42,2,21,1
Feb 28 2021,2,58,2,20,1
Mar 07 2021,<1,16,3,18,1
Mar 14 2021,<1,61,2,18,1
Mar 21 2021,<1,58,2,20,1
Mar 28 2021,<1,34,5,19,1
Apr 04 2021,<1,<1,30,18,1
Apr 11 2021,<1,<1,65,19,1
Apr 18 2021,<1,<1,81,19,1
Apr 25 2021,<1,<1,83,18,1
May 02 2021,<1,<1,32,21,1
May 09 2021,<1,<1,3,24,1
May 16 2021,<1,<1,3,29,3
May 23 2021,<1,<1,2,37,4
May 30 2021,<1,<1,2,38,7
Jun 06 2021,<1,<1,1,32,28
Jun 13 2021,<1,2,1,35,68
Jun 20 2021,<1,1,1,35,67
Jun 27 2021,<1,2,1,29,73
Jul 04 2021,<1,1,1,24,41
Jul 11 2021,<1,1,1,22,19
Jul 18 2021,<1,1,1,22,1
Jul 25 2021,<1,<1,2,15,1
Aug 01 2021,2,39,1,11,1
Aug 08 2021,<1,46,1,8,1
Aug 15 2021,<1,29,1,7,1
Aug 22 2021,<1,43,1,5,1
Aug 29 2021,<1,32,2,5,1
Sep 05 2021,<1,33,2,6,1
Sep 12 2021,<1,1,5,5,1
Sep 19 2021,1,<1,59,5,1
Sep 26 2021,2,<1,75,5,1
Oct 03 2021,1,<1,100,10,1
Oct 10 2021,<1,<1,77,10,<1
Oct 17 2021,6,7,5,20,<1
Oct 24 2021,<1,<1,5,23,<1
Oct 31 2021,<1,<1,3,22,<1
Nov 07 2021,<1,<1,2,23,<1
Nov 14 2021,<1,<1,2,22,<1
Nov 21 2021,<1,<1,1,21,<1
Nov 28 2021,<1,<1,3,22,<1
Dec 05 2021,<1,<1,1,20,<1
